"","State","Role1","IncludeGLY","n","Perc","Txtend17","Mxtend17","Txtend18","Mxtend18","Txtend19","Mxtend19"
"1","Nebraska","Decision influencer","No",3,5,1416,708,3035,1518,3440,1720
"2","Nebraska","Decision influencer","Yes",54,95,41628,850,143754,2875,184541,4012
"3","Nebraska","Farmer","No",19,19,292,16,3792,200,3355,224
"4","Nebraska","Farmer","Not sure",3,3,16,5,237,79,283,142
"5","Nebraska","Farmer","Yes",78,78,11825,156,30237,393,34224,496
"6","Wisconsin","Decision influencer","No",3,13,567,189,2511,837,5384,1795
"7","Wisconsin","Decision influencer","Not sure",1,4,0,0,0,0,0,0
"8","Wisconsin","Decision influencer","Yes",19,83,6542,385,18715,1040,46934,2933
"9","Wisconsin","Farmer","No",16,44,34,2,457,29,1354,85
"10","Wisconsin","Farmer","Yes",20,56,1338,67,3521,176,3728,207
