"","State","Role1","DicambaInjuryNeigh","n","Perc","Txtend17","Mxtend17","Txtend18","Mxtend18","Txtend19","Mxtend19"
"1","Nebraska","Decision influencer","No",40,73,27949,755,98711,2668,122703,3609
"2","Nebraska","Decision influencer","Not sure",6,11,7487,1497,11938,2388,13274,2655
"3","Nebraska","Decision influencer","Yes",9,16,7204,900,32517,3613,47956,5995
"4","Nebraska","Farmer","No",88,85,9085,107,25091,288,27744,360
"5","Nebraska","Farmer","Not sure",10,10,789,79,1943,194,1336,191
"6","Nebraska","Farmer","Yes",5,5,2121,424,7430,1486,8822,1764
"7","Wisconsin","Decision influencer","No",23,79,5085,231,16930,736,48370,2103
"8","Wisconsin","Decision influencer","Not sure",5,17,2024,506,4312,862,4049,1350
"9","Wisconsin","Decision influencer","Yes",1,3,0,NA,0,NA,0,NA
"10","Wisconsin","Farmer","No",43,98,1376,32,4512,105,5819,142
"11","Wisconsin","Farmer","Yes",1,2,16,16,16,16,16,16
