"","State","Role1","IncludePOST","n","Perc","Txtend17","Mxtend17","Txtend18","Mxtend18","Txtend19","Mxtend19"
"1","Nebraska","Decision influencer","No",13,24,15217,1383,38365,3197,50182,5018
"2","Nebraska","Decision influencer","Not sure",1,2,405,405,3238,3238,4047,4047
"3","Nebraska","Decision influencer","Yes",41,75,27423,703,105186,2697,133752,3615
"4","Nebraska","Farmer","No",39,39,2743,74,8564,220,7364,238
"5","Nebraska","Farmer","Not sure",9,9,263,29,1319,147,1295,216
"6","Nebraska","Farmer","Yes",53,52,9126,179,24409,469,29203,584
"7","Wisconsin","Decision influencer","No",9,41,2874,359,8908,990,21620,2702
"8","Wisconsin","Decision influencer","Not sure",2,9,16,8,304,152,607,304
"9","Wisconsin","Decision influencer","Yes",11,50,4219,422,11913,1191,30091,3009
"10","Wisconsin","Farmer","No",26,74,228,9,1566,60,2446,94
"11","Wisconsin","Farmer","Yes",9,26,1144,127,2384,265,2636,330
