"","State","Role1","IncludeG15","n","Perc","Txtend17","Mxtend17","Txtend18","Mxtend18","Txtend19","Mxtend19"
"1","Nebraska","Decision influencer","No",8,16,4088,584,16916,2417,21085,3012
"2","Nebraska","Decision influencer","Not sure",3,6,405,135,1801,600,2064,688
"3","Nebraska","Decision influencer","Yes",40,78,37580,989,120383,3168,155929,4455
"4","Nebraska","Farmer","No",33,33,2254,73,6496,203,5977,206
"5","Nebraska","Farmer","Not sure",13,13,474,36,2333,179,2298,230
"6","Nebraska","Farmer","Yes",53,54,9227,177,24950,471,29000,630
"7","Wisconsin","Decision influencer","No",7,29,2773,462,7977,1140,12308,2051
"8","Wisconsin","Decision influencer","Not sure",2,8,16,8,304,152,607,304
"9","Wisconsin","Decision influencer","Yes",15,62,4320,332,12961,926,39464,3036
"10","Wisconsin","Farmer","No",25,66,229,9,1520,61,2317,97
"11","Wisconsin","Farmer","Not sure",2,5,0,0,28,14,16,16
"12","Wisconsin","Farmer","Yes",11,29,1143,104,2243,204,2425,242
